Episode,Length,Reward,IMG,LOG
1148,6,-4,frames/image1148.gif,frames/log1148.csv
1149,6,-4,frames/image1149.gif,frames/log1149.csv
1150,6,-4,frames/image1150.gif,frames/log1150.csv
1151,6,-4,frames/image1151.gif,frames/log1151.csv
1152,6,-4,frames/image1152.gif,frames/log1152.csv
1153,6,-4,frames/image1153.gif,frames/log1153.csv
1154,6,-4,frames/image1154.gif,frames/log1154.csv
1155,8,-6,frames/image1155.gif,frames/log1155.csv
1156,6,-4,frames/image1156.gif,frames/log1156.csv
1157,8,-6,frames/image1157.gif,frames/log1157.csv
1158,8,-6,frames/image1158.gif,frames/log1158.csv
1159,6,-4,frames/image1159.gif,frames/log1159.csv
1160,8,-6,frames/image1160.gif,frames/log1160.csv
1161,8,-6,frames/image1161.gif,frames/log1161.csv
1162,6,-4,frames/image1162.gif,frames/log1162.csv
1163,6,-4,frames/image1163.gif,frames/log1163.csv
1164,6,-4,frames/image1164.gif,frames/log1164.csv
1165,8,-6,frames/image1165.gif,frames/log1165.csv
1166,8,-6,frames/image1166.gif,frames/log1166.csv
1167,7,-5,frames/image1167.gif,frames/log1167.csv
1168,8,-6,frames/image1168.gif,frames/log1168.csv
1169,6,-4,frames/image1169.gif,frames/log1169.csv
1170,6,-4,frames/image1170.gif,frames/log1170.csv
1171,6,-4,frames/image1171.gif,frames/log1171.csv
1172,6,-4,frames/image1172.gif,frames/log1172.csv
1173,8,-6,frames/image1173.gif,frames/log1173.csv
1174,6,-4,frames/image1174.gif,frames/log1174.csv
1175,6,-4,frames/image1175.gif,frames/log1175.csv
1176,7,-5,frames/image1176.gif,frames/log1176.csv
1177,6,-4,frames/image1177.gif,frames/log1177.csv
1178,8,-6,frames/image1178.gif,frames/log1178.csv
1179,6,-4,frames/image1179.gif,frames/log1179.csv
1180,7,-5,frames/image1180.gif,frames/log1180.csv
1181,6,-4,frames/image1181.gif,frames/log1181.csv
1182,8,-6,frames/image1182.gif,frames/log1182.csv
1183,6,-4,frames/image1183.gif,frames/log1183.csv
1184,6,-4,frames/image1184.gif,frames/log1184.csv
1185,8,-6,frames/image1185.gif,frames/log1185.csv
1186,8,-6,frames/image1186.gif,frames/log1186.csv
1187,6,-4,frames/image1187.gif,frames/log1187.csv
1188,7,-5,frames/image1188.gif,frames/log1188.csv
1189,7,-5,frames/image1189.gif,frames/log1189.csv
1190,6,-4,frames/image1190.gif,frames/log1190.csv
1191,6,-4,frames/image1191.gif,frames/log1191.csv
1192,6,-4,frames/image1192.gif,frames/log1192.csv
1193,6,-4,frames/image1193.gif,frames/log1193.csv
1194,6,-4,frames/image1194.gif,frames/log1194.csv
1195,6,-4,frames/image1195.gif,frames/log1195.csv
1196,8,-6,frames/image1196.gif,frames/log1196.csv
1197,6,-4,frames/image1197.gif,frames/log1197.csv
1198,6,-4,frames/image1198.gif,frames/log1198.csv
1199,6,-4,frames/image1199.gif,frames/log1199.csv
1200,6,-4,frames/image1200.gif,frames/log1200.csv
1201,6,-4,frames/image1201.gif,frames/log1201.csv
1202,6,-4,frames/image1202.gif,frames/log1202.csv
1203,8,-6,frames/image1203.gif,frames/log1203.csv
1204,6,-4,frames/image1204.gif,frames/log1204.csv
1205,6,-4,frames/image1205.gif,frames/log1205.csv
1206,7,-5,frames/image1206.gif,frames/log1206.csv
1207,7,-5,frames/image1207.gif,frames/log1207.csv
1208,6,-4,frames/image1208.gif,frames/log1208.csv
1209,6,-4,frames/image1209.gif,frames/log1209.csv
1210,6,-4,frames/image1210.gif,frames/log1210.csv
1211,6,-4,frames/image1211.gif,frames/log1211.csv
1212,6,-4,frames/image1212.gif,frames/log1212.csv
1213,8,-6,frames/image1213.gif,frames/log1213.csv
1214,6,-4,frames/image1214.gif,frames/log1214.csv
1215,6,-4,frames/image1215.gif,frames/log1215.csv
1216,8,-6,frames/image1216.gif,frames/log1216.csv
1217,10,-8,frames/image1217.gif,frames/log1217.csv
1218,6,-4,frames/image1218.gif,frames/log1218.csv
